athlete_id,activity_id,date,week_no,hrr_window_start_secs,hrr_window_end_secs,HRR(30)
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_02_20_04_49_34.csv,2020-02-20T02:49:34.000000,27,2112,2141,52
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_02_20_04_49_34.csv,2020-02-20T02:49:34.000000,27,2248,2277,15
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_02_20_04_49_34.csv,2020-02-20T02:49:34.000000,27,3618,3647,23
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_02_20_04_49_34.csv,2020-02-20T02:49:34.000000,27,4551,4580,26
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_02_20_04_49_34.csv,2020-02-20T02:49:34.000000,27,5055,5084,20
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_02_22_05_02_00.csv,2020-02-22T03:02:00.000000,27,3461,3490,35
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_02_22_05_02_00.csv,2020-02-22T03:02:00.000000,27,4880,4909,32
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_02_23_05_04_24.csv,2020-02-23T03:04:24.000000,28,13032,13061,23
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_02_25_04_48_17.csv,2020-02-25T02:48:17.000000,28,2189,2218,9
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_02_25_04_48_17.csv,2020-02-25T02:48:17.000000,28,3085,3114,18
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_02_25_04_48_17.csv,2020-02-25T02:48:17.000000,28,4235,4264,36
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_03_05_04_40_24.csv,2020-03-05T02:40:24.000000,29,1488,1517,18
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_03_05_04_40_24.csv,2020-03-05T02:40:24.000000,29,2832,2861,14
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_03_05_04_40_24.csv,2020-03-05T02:40:24.000000,29,3225,3254,14
