id,gender,yob,numberOfRides,duration,rideFrequency
0a1078fe-970a-4350-9b94-b3ce1f5a0a40,M,2000,559,668,0.8368263473053892
0a19dc09-7044-4b32-8ef2-b29491120c34,M,1976,48,148,0.32432432432432434
0a21a7cf-e0f7-4a6d-b262-f540ac7813a4,M,2000,464,1229,0.3775427176566314
0a233c47-25e1-4514-aac8-a60013ebc3aa,M,1964,342,1464,0.2336065573770492
0a23f23b-58af-4b12-bab1-89d3d43d4f17,M,1977,63,119,0.5294117647058824
0a28383d-3cc9-4f0e-9f9e-e58098fcc811,M,1966,506,1087,0.46550137994480223
0a2954ea-51dc-4ff4-a41e-4a78b6884bf4,M,1986,9,349,0.025787965616045846
0a45d65c-3e8c-4625-9be1-84633933d5c6,M,1976,109,161,0.6770186335403726
0a466bdc-4f60-4b44-a975-69f65c2e0cff,M,2085,38,24,1.5833333333333333
0a4dfb20-0ce5-4d55-9bd9-20122b79baf5,M,1969,17,80,0.2125
0a4fccb3-0f28-4788-975d-0ec88f25eabc,M,1989,2498,4765,0.5242392444910808
0a61b874-2cf9-4d70-b540-8e3ee0bdf0ca,M,1979,623,1611,0.3867163252638113
0a69bdba-cf10-4284-a273-5a3580efc001,M,1974,859,1582,0.5429835651074589
0a874fe8-b4c3-4cc2-9b62-381f80e30005,M,1980,1,0,0.0
0a878740-5cd2-4064-9aa6-c8d0a4ced727,M,2072,137,809,0.16934487021013597
0aa1e908-524b-4504-841e-0289a11709d3,M,2085,548,859,0.6379511059371362
0aa256ab-e507-4955-9c09-73278fe318ca,M,1964,6,11,0.5454545454545454
0aa89ce6-0350-45a5-b6f5-0b584ffe2462,M,1976,51,148,0.34459459459459457
0ac7270b-edd9-4bb7-bc51-22f4494fa7b9,M,1969,0,0,0.0
0adba00b-e97d-41ec-915b-9645aba5b1f8,M,1980,104,538,0.19330855018587362
0b027c69-ba29-46ff-b1f9-6107b36c1072,M,1983,188,590,0.31864406779661014
0b03c530-4d65-4f18-a438-ba48dae0f379,M,1977,182,902,0.2017738359201774
0b0ba22b-9cb0-4de1-958b-1b71705d70da,M,1975,110,153,0.7189542483660131
0b1eae3e-a92e-4d27-b551-384ce730c71a,M,1972,135,753,0.17928286852589642
0b21a742-ba4f-4cc6-af64-27f685cf9cd3,M,1992,75,1107,0.06775067750677506
0b2aef42-d541-43f6-8ec4-3985337d2188,M,1956,608,2655,0.22900188323917137
0b346599-ea99-4f75-a5b0-e261763c910e,M,2000,35,3486,0.010040160642570281
0b37c331-8030-4509-bbd4-5e3df2272360,M,1980,0,0,0.0
0b3d644e-40b1-479f-a345-5a9511aacc65,M,1970,1115,2363,0.47185780787134995
0b47deda-9831-469d-a28c-b85bb30a9f11,M,1970,50,253,0.1976284584980237
0b77a6ff-ecc3-474d-8cfd-e835b11012e4,M,2000,42,374,0.11229946524064172
0b79147d-b08f-4fdb-9003-da90a35c61fc,M,1975,17,121,0.14049586776859505
0b93da37-7a50-4cd5-8810-e5f19d55fe7a,M,1975,21,110,0.19090909090909092
0ba4a5d6-ad94-4ea2-a529-566b46cec958,M,1974,63,211,0.2985781990521327
0baf33f2-0a15-400e-a66f-26c09f46a2bd,M,1964,793,1688,0.4697867298578199
0bb2a751-f999-4d11-83c2-3b8c7120c545,M,1974,156,278,0.5611510791366906
0bb601b9-a73c-497e-a45a-7df22d1b8437,M,1967,0,0,0.0
